radius age_raw_nn age_raw_nn_err age_raw_SF age_raw_SF_err age_lw age_lw_err age_mw age_mw_err g-r
0.5 8.738395286871558 0.038758695682963445 6.868628070030875 0.06441191958722749 8.490028601444301 0.20218139020564255 8.903051601390702 0.22790802423616494 0.0
1.5 8.533511441455673 0.03018025751505569 6.551632472063258 0.05143840813803521 8.46166639132575 0.15805522392311716 8.850446745907279 0.16683226283086391 0.0
2.5 8.284833437991766 0.027512863695753717 6.272050572971761 0.047026196323501135 7.050810238237874 0.1448723359079045 7.973070630336827 0.1472894267105111 0.0
3.5 7.9659847119783365 0.024162156079041604 6.603777383670085 0.03675488238089179 7.165328601698524 0.11879135930424572 7.971676701288918 0.12753530832905757 0.0
4.5 7.207322475668638 0.02221072530606794 6.4160130879429165 0.030880234319386253 5.8450705340385225 0.08149378205919909 6.792225694723135 0.09615624897955137 0.0
5.5 6.525757309535479 0.023981256794492128 5.825501899888172 0.03020460525463876 5.6024661927455846 0.3079670871317715 6.609170067846284 0.10533123650533868 0.0
6.5 6.441217598227313 0.02093881941200617 5.78142331181731 0.02602795337042996 4.786049652391389 0.06427483709088595 6.0913606772938484 0.09675200112174699 0.0
7.5 6.7020079680924605 0.01525269755787553 6.108477974848178 0.018704646299261486 4.952206536717954 0.04979821940660453 6.199681642147247 0.06325369698163781 0.0
8.5 5.8684871440370925 0.014006877891808017 5.978483657413446 0.014984615142373198 4.271487684126235 0.033854904165105656 5.642869221117147 0.04703380715880433 0.0
9.5 4.440069685680879 0.013741032481623191 4.952949310775509 0.01478819637887976 3.9063480435366675 0.027623256507203226 5.20958875216071 0.04191102802404352 0.0
10.5 3.9381332569115077 0.01470571687820688 4.371242607616966 0.01605758533068181 3.5671013877829756 0.0720376731764147 4.747569864008465 0.12722688673295576 0.0
11.5 3.8075947483987616 0.015803759678102148 4.1082181985133275 0.01725653325069153 3.4971726318079974 0.06398310879128245 4.544092333458312 0.09311478692481535 0.0
12.5 3.9066076943985024 0.020218610505146655 4.028241823282619 0.020796767300059266 3.5236473317931853 0.1014209862590052 4.5728849654695125 0.10972879803947172 0.0
13.5 4.516595543975088 0.03186307451340224 4.1281574597791435 0.02971428506414734 3.92652753458251 0.1304842726840763 4.975170559995801 0.18489908334526423 0.0
14.5 4.764180737342902 0.04512021843464051 4.393715396152116 0.04646105077439769 4.529404945253162 0.21531508846788458 5.378581057521496 0.32488337254998356 0.0
15.5 4.997510851422829 0.061132944209172854 4.588865881451052 0.06067226121414364 4.452373947496599 0.25755971125833416 5.048418358615706 0.3149767803449305 0.0
16.5 4.968765988262447 0.07470122521775907 4.8090853019327255 0.09263296538518014 4.426840973192823 0.2571228960260946 4.957239995782238 0.31281570439673934 0.0
17.5 4.876822128112124 0.09265977647151886 4.725422615450734 0.10416448597863741 4.611188726830294 0.5718809891731015 5.140758362691288 0.676934773851773 0.0
18.5 4.8279394848659045 0.12659863097640417 5.148147940629456 0.13043721128496433 5.041833175294695 0.6697593133853388 5.528678241774956 0.6559228445372888 0.0
19.5 5.243535282430072 0.22257526487237378 4.985469489074638 0.16973328221160924 4.987579889310897 0.6844826725124618 5.491113494475502 0.8055206354067196 0.0
