radius ur ur_err gr gr_err gi gi_err gz gz_err
0.5 2.2569907912625347 0.061832213788132785 0.6847453112898618 0.058325967061155434 0.9900790886613162 0.058325967061155434 1.2026158149107165 0.058325967061155434
1.5 2.276245546467581 0.020632352843585382 0.6964271330556056 0.02136887857820488 1.0001494495447885 0.02136887857820488 1.2147743942486278 0.02136887857820488
2.5 2.125711017607067 0.0369960966992653 0.6432372028975726 0.032490279243971985 0.9060921039257561 0.032490279243971985 1.1075585398906016 0.032490279243971985
3.5 2.1068320852186897 0.04351056631929166 0.6280648089707039 0.028695731377525915 0.9127881671721623 0.028695731377525915 1.107464500067727 0.028695731377525915
4.5 1.983446579275368 0.01801835214850715 0.5567744608516412 0.015661174829182552 0.8105565743935115 0.015661174829182552 0.9934290634417389 0.015661174829182552
5.5 1.9661010093088267 0.01610527306134151 0.5141180822359335 0.059489535661852555 0.7758541660433158 0.059489535661852555 0.9622605842577538 0.059489535661852555
6.5 1.8455573706861594 0.02060868972466054 0.483931904830607 0.018041630189721707 0.704367273487585 0.018041630189721707 0.875217360793763 0.018041630189721707
7.5 1.8647079309007788 0.015012025973219956 0.5016193508560516 0.012929210609532399 0.7275082792354972 0.012929210609532399 0.9004645262407722 0.012929210609532399
8.5 1.7686853145485255 0.017918750275676944 0.44841918974631856 0.0139679560150438 0.6599278419698207 0.0139679560150438 0.824157099488187 0.0139679560150438
9.5 1.7245651129554087 0.010781834905481574 0.42873305534040007 0.00974519013266742 0.630650543992922 0.00974519013266742 0.7893533616869615 0.00974519013266742
10.5 1.6854282678847259 0.014400935968420236 0.40670136850908545 0.015792372501671637 0.6026852335959916 0.015792372501671637 0.7554144990445408 0.015792372501671637
11.5 1.6732799966476195 0.024243406411266974 0.40418211244561775 0.02756738485521706 0.5921243809191896 0.02756738485521706 0.7408797643736103 0.02756738485521706
12.5 1.5727346906431308 0.1604281371333452 0.3819264951109025 0.10105614874870267 0.5843025520349387 0.10105614874870267 0.7325097380444214 0.10105614874870267
13.5 1.7019819435913437 0.08793273130921425 0.45995916339453746 0.06266416913970041 0.6528701830710126 0.06266416913970041 0.8000931433794554 0.06266416913970041
14.5 1.777252288303492 0.0390671494200598 0.4997926863805988 0.03953220115129378 0.7081683287431035 0.03953220115129378 0.8708150105721275 0.03953220115129378
15.5 1.782494344297115 0.056065238553513794 0.5244014038789961 0.05855876098941949 0.7357672852659851 0.05855876098941949 0.8839833866119156 0.05855876098941949
16.5 1.758280631411914 0.05664880726942032 0.4925818107664508 0.057742323275912354 0.7095690556827874 0.057742323275912354 0.865036906509653 0.057742323275912354
17.5 1.7991472065558405 0.1584916934750329 0.506912303882685 0.13907191019804868 0.6995040463055453 0.13907191019804868 0.8770979505684551 0.13907191019804868
18.5 1.828058288543823 0.1195662793200436 0.5471782522230013 0.11053020363561498 0.7375324821842035 0.11053020363561498 0.8862607948700338 0.11053020363561498
19.5 1.7732886436683604 0.12315111952201106 0.5312087378627774 0.12663153089802442 0.7330869271124705 0.12663153089802442 0.8966229788369509 0.12663153089802442
